Name,Location,ratings,Features,Price,Description,Images,Guests,
Amaya Beach Passikudah,kalkudah,10,"Snorkeling,Outdoor pool,Beachfront,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,[A stay at Sevana City Hotel Kandy places you in the heart of Kandy, within a 10-minute walk of Kandy Clock Tower and Commonwealth War Cemetery. This hotel is 2.2 mi (3.6 km) from Temple of the Tooth and 0.6 mi (0.9 km) from Kandy Lake. Make yourself …SemboRead more]",132,"A stay at Sevana City Hotel Kandy places you in the heart of Kandy, within a 10-minute walk of Kandy Clock Tower and Commonwealth War Cemetery. This hotel is 2.2 mi (3.6 km) from Temple of the Tooth and 0.6 mi (0.9 km) from Kandy Lake. Make yourself …SemboRead more","'https://content.r9cdn.net/rimg/himg/38/db/1a/expediav2-2184079-8cd438-343268.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/cb/f8/de/expediav2-2184079-d73102-804811.jpg?width=1020&height=1020&xhint=500&yhint=487&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e4/6c/1b/expediav2-2184079-7a4359-890935.jpg?width=1020&height=1020&xhint=312&yhint=540&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6a/fb/ec/expediav2-2184079-ee4dd1-374223.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",1,
Elysium,galle,7,"Private beach,Outdoor pool,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Wi-Fi available in all areas,[When you stay at UTMT Underneath the Mango Tree Beach & Spa in Polgahamulla, youll be on the beach, within a 5-minute drive of Dickwella Beach and Wewurukannala Vihara Temple. This 4-star hotel is 2.7 mi (4.4 km) from Hiriketiya Beach and 3.6 mi (5.…SemboRead more]",364,"When you stay at UTMT Underneath the Mango Tree Beach & Spa in Polgahamulla, youll be on the beach, within a 5-minute drive of Dickwella Beach and Wewurukannala Vihara Temple. This 4-star hotel is 2.7 mi (4.4 km) from Hiriketiya Beach and 3.6 mi (5.…SemboRead more","'https://content.r9cdn.net/rimg/himg/d5/89/dd/hotelsdotcom-682900-86d698c0_w-209884.jpg?width=1020&height=1020&xhint=1120&yhint=625&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/4a/30/01/expediav2-2061252-f26bcf-705048.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/68/72/e7/expediav2-2061252-2688054464-064923.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/34/16/39/expediav2-2061252-7cd644-106240.jpg?width=1020&height=1020&xhint=500&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",2,
Sevana City Hotel,kandy,10,"Outdoor pool,Restaurant,Free Wi-Fi,Tea/coffee maker,Business center,Wi-Fi available in all areas,TV,Free toiletries,Internet,Parking,[Providing a private beach and an outdoor pool, Centara Ceysands Resort & Spa Sri Lanka is a short drive from Beruwala and Kalutara. In addition to free private parking on site, the hotel offers comfortable 4-star rooms and a bar. Guests can enjoy a r…RevatoRead more]",75,"Providing a private beach and an outdoor pool, Centara Ceysands Resort & Spa Sri Lanka is a short drive from Beruwala and Kalutara. In addition to free private parking on site, the hotel offers comfortable 4-star rooms and a bar. Guests can enjoy a r…RevatoRead more","'/rimg/himg/13/55/b0/leonardo-195392864-ccs-caf_-bem-01_O-307776.jpg?width=510&height=510&crop=true', '/rimg/himg/a2/9f/9d/revato-303035-13305369-296535.jpg?width=510&height=510&crop=true', '/rimg/himg/a2/9f/9d/revato-303035-13305901-124824.jpg?width=510&height=510&crop=true', '/rimg/himg/9c/a0/c4/leonardo-195392864-ccs-caf_-bem-06_O-097681.jpg?width=510&height=510&crop=true'",4,
Utmt - Underneath The Mango Tree Spa & Beach Resor...,dikwella,10,"Private beach,Outdoor pool,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Coffee shop,Free parking,[While youre here, you can enjoy all the comforts of home and more, including a rainfall showerhead and free WiFi, as well as a coffee/tea maker and an outdoor entertainment area. Other amenities include laundry facilities, towels, an electric kettle…ExpediaRead more]",275,"While youre here, you can enjoy all the comforts of home and more, including a rainfall showerhead and free WiFi, as well as a coffee/tea maker and an outdoor entertainment area. Other amenities include laundry facilities, towels, an electric kettle…ExpediaRead more","'https://content.r9cdn.net/rimg/himg/35/ad/88/expediav2-3626983-2904355431-226359.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/10/47/1f/expediav2-3626983-1699658889-165144.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f9/aa/7c/expediav2-3626983-2ad297-207089.jpg?width=1020&height=1020&xhint=500&yhint=390&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a2/2b/48/expediav2-3626983-378c78-801056.jpg?width=1020&height=1020&xhint=540&yhint=334&crop=true&watermarkheight=28&watermarkpadding=10'",2,
Centara Ceysands Resort & Spa Sri Lanka,bentota,8,"Private beach,Water sport facilities (on site),Snorkeling,Outdoor pool,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,[Located in Hokandara, this welcoming villa brings it all within your reach. With convenient onsite parking, youll be ready to make the 14-minute drive to Department of Immigration and Emigration or the 15-minute drive to Diyatha Uyana. After you ret…Expedia]",191,"Located in Hokandara, this welcoming villa brings it all within your reach. With convenient onsite parking, youll be ready to make the 14-minute drive to Department of Immigration and Emigration or the 15-minute drive to Diyatha Uyana. After you ret…Expedia","'/rimg/himg/d1/8c/38/expediav2-25070893-e1305752_z-951036.jpg?width=510&height=510&crop=true', '/rimg/himg/88/37/9b/expediav2-3937714-2040346347-096551.jpg?width=510&height=510&crop=true', '/rimg/himg/d1/8c/38/expediav2-25070893-8101e4ed_z-487434.jpg?width=510&height=510&crop=true', '/rimg/himg/d1/8c/38/expediav2-25070893-0ccb598b_z-653793.jpg?width=510&height=510&crop=true'",3,
The Icebear Guesthouse,negombo,10,"Beachfront,Spa and wellness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Flat-screen TV,TV,[Rooms Stay in one of 2 guestrooms featuring LED televisions. Rooms have private balconies. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your …Viajes Exito HotelsRead more]",67,"Rooms Stay in one of 2 guestrooms featuring LED televisions. Rooms have private balconies. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your …Viajes Exito HotelsRead more","'https://content.r9cdn.net/rimg/himg/25/27/ad/expediav2-2971099-4933df-905871.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d1/a0/4f/expediav2-2971099-263f93-849405.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/cf/ad/cb/expediav2-2971099-83b96e-782672.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/70/65/5c/expediav2-2971099-1ae64e-743843.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",3,
Horahena Farm Stay,colombo,10,"Kitchen,Air-conditioned,Coffee machine,Laundry facilities,Grill,Free toiletries,Parking,Kettle,Picnic area,Garden,[Sri Lankas iconic historic hotel, the Galle Face Hotel, situated in the heart of Colombo along the seafront facing the famous Galle Face Green. No visit to Sri Lanka is complete without staying at this elegant historic award winning hotel built in 18…iHotelier/iStayRead more]",61,"Sri Lankas iconic historic hotel, the Galle Face Hotel, situated in the heart of Colombo along the seafront facing the famous Galle Face Green. No visit to Sri Lanka is complete without staying at this elegant historic award winning hotel built in 18…iHotelier/iStayRead more","'https://content.r9cdn.net/rimg/himg/4d/5c/77/ice-170969-102402230-461143.jpg?width=1020&height=1020&xhint=1555&yhint=960&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/1a/10/21/ice-170969-102402241-520782.jpg?width=1020&height=1020&xhint=1180&yhint=728&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/15/cd/fc/ice-170969-102402237-546158.jpg?width=1020&height=1020&xhint=1611&yhint=896&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/9d/84/e0/ice-170969-102402221-572246.jpg?width=1020&height=1020&xhint=1555&yhint=960&crop=true&watermarkheight=28&watermarkpadding=10'",4,
Ella Dream Catcher Resort,ella,7,"Water slide,Restaurant,Room service,Bicycle rental,Free Wi-Fi,Tea/coffee maker,Valet parking,Free parking,Flat-screen TV,TV,[Situated in Diyatalawa, 43 km from Gregory Lake, ANDRIYALA features accommodation with an outdoor swimming pool, free private parking, a garden and a terrace. The property is set 22 km from Demodara Nine Arch Bridge, 34 km from Horton Plains National…Booking.com]",51,"Situated in Diyatalawa, 43 km from Gregory Lake, ANDRIYALA features accommodation with an outdoor swimming pool, free private parking, a garden and a terrace. The property is set 22 km from Demodara Nine Arch Bridge, 34 km from Horton Plains National…Booking.com","'https://content.r9cdn.net/rimg/himg/11/6c/c3/expediav2-8537137-dbe153-755571.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/19/46/99/expediav2-8537137-8a37da-725383.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/2a/2a/25/expediav2-8537137-b65d71-774694.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6b/94/e7/expediav2-8537137-d00c05-871988.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",2,
Suriya Homestay Mirissa,matara,9,"[The Grand Udawalawe Safari Resort is a four-star eco-friendly accommodation located on a 7-acre land, just 500 meters from the Ath Athuru Sevana (Elephant Orphanage) and within five minutes drive from the Uda Walawe National Park. Guest rooms are air…WebBedsRead more]",51,"The Grand Udawalawe Safari Resort is a four-star eco-friendly accommodation located on a 7-acre land, just 500 meters from the Ath Athuru Sevana (Elephant Orphanage) and within five minutes drive from the Uda Walawe National Park. Guest rooms are air…WebBedsRead more","'https://content.r9cdn.net/rimg/himg/04/0f/be/expediav2-692125-16ffdd-675245.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a8/fe/7e/expediav2-692125-01792e-666888.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/71/7e/11/expediav2-692125-53be83-802218.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/53/1c/66/expediav2-692125-187964-621042.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",3,
Galle Face Hotel,colombo,10,"Private beach,Outdoor pool,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Valet parking,[When you stay at Pandanus Beach Resort & Spa in Induruwa, youll be on the beach, within a 5-minute drive of Induruwa Beach and Kosgoda Beach. This 5-star resort is 3.9 mi (6.2 km) from Bentota Beach and 4.8 mi (7.8 km) from Kaluwamodara Bridge. Make…SemboRead more]",,"When you stay at Pandanus Beach Resort & Spa in Induruwa, youll be on the beach, within a 5-minute drive of Induruwa Beach and Kosgoda Beach. This 5-star resort is 3.9 mi (6.2 km) from Bentota Beach and 4.8 mi (7.8 km) from Kaluwamodara Bridge. Make…SemboRead more","'https://content.r9cdn.net/rimg/himg/09/b2/29/expediav2-2061964-e650ac-213952.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ad/46/18/expediav2-2061964-310467178-742726.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/8c/b8/62/expediav2-2061964-c7829d-965162.jpg?width=1020&height=1020&xhint=560&yhint=281&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/86/96/98/expediav2-2061964-97ccd3-925250.jpg?width=1020&height=1020&xhint=500&yhint=281&crop=true&watermarkheight=28&watermarkpadding=10'",1,
Andriyala,diyatalawa,10,"Outdoor pool,Infinity pool,Restaurant,Room service,Free Wi-Fi,Free parking,Wi-Fi available in all areas,Flat-screen TV,TV,Cable or satellite TV,[With a stay at Miheen Hotel in Mihintale, youll be within a 10-minute walk of Kantaka Chetiya and Aradhana Gala. This hotel is 0.4 mi (0.6 km) from Ambasthale Dagoba and 0.4 mi (0.6 km) from Mahaseya Dagoba. Make yourself at home in one of the 6 gue…Sembo]",63,"With a stay at Miheen Hotel in Mihintale, youll be within a 10-minute walk of Kantaka Chetiya and Aradhana Gala. This hotel is 0.4 mi (0.6 km) from Ambasthale Dagoba and 0.4 mi (0.6 km) from Mahaseya Dagoba. Make yourself at home in one of the 6 gue…Sembo","'https://content.r9cdn.net/rimg/himg/6b/99/a4/expediav2-2477465-71af32-343258.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/2d/5d/0d/expediav2-2477465-58b869-207344.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/00/91/be/expediav2-2477465-323726-639801.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/59/a9/52/expediav2-2477465-69b0f0-702835.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",2,
Grand Udawalawe Safari Resort,embilipitiya,7,"Outdoor pool,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Bicycle rental,Free Wi-Fi,Tea/coffee maker,Coffee machine,[While youre here, you can enjoy all the comforts of home and more, including a refrigerator and free WiFi, as well as a flat-screen TV and a coffee/tea maker. Other amenities include laundry facilities, towels, a ceiling fan, and tour/ticket assista…ExpediaRead more]",141,"While youre here, you can enjoy all the comforts of home and more, including a refrigerator and free WiFi, as well as a flat-screen TV and a coffee/tea maker. Other amenities include laundry facilities, towels, a ceiling fan, and tour/ticket assista…ExpediaRead more","'/rimg/himg/2a/1c/a7/expediav2-744436-081512-327337.jpg?width=510&height=510&crop=true', '/rimg/himg/b7/56/fe/hotelsdotcom-581217-de905dcc_w-132584.jpg?width=510&height=510&crop=true', '/rimg/himg/6c/38/50/expediav2-744436-5bf6a2-228722.jpg?width=510&height=510&crop=true', '/rimg/himg/f8/57/61/expediav2-744436-e4807c-137477.jpg?width=510&height=510&crop=true'",4,
Pandanus Beach Resort And Spa,induruwa,10,"Water sport facilities (on site),Beachfront,Outdoor pool,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,[Breathe in that fresh sea air and feel the warmth of the sun against your skin. Before you, lies the Indian ocean; behind you, the Kalu river, twisting almost 100 miles back to Sri Pada, the sacred mountain believed to be the footprint of the Buddha.…WebBedsRead more]",487,"Breathe in that fresh sea air and feel the warmth of the sun against your skin. Before you, lies the Indian ocean; behind you, the Kalu river, twisting almost 100 miles back to Sri Pada, the sacred mountain believed to be the footprint of the Buddha.…WebBedsRead more","'https://content.r9cdn.net/rimg/himg/17/9b/61/ice-319923-108437764-857556.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/cc/a4/df/ice-319923-108437779-973211.jpg?width=1020&height=1020&xhint=1440&yhint=960&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/29/95/70/ice-319923-108437806-200887.jpg?width=1020&height=1020&xhint=1555&yhint=960&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/4b/d6/ab/ice-319923-108437774-935253.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",5,
Miheen Hotel & Resort - Anuradhapura,mihintale,6,"Restaurant,Room service,Free Wi-Fi,Tea/coffee maker,Free parking,Business center,Flat-screen TV,TV,Cable or satellite TV,Free toiletries,[With a stay at Bella Vista Apartments OnThree20 Colombo in Colombo (Colombo 02), youll be a 5-minute walk from Colombo City Centre and 6 minutes by foot from Gangaramaya Temple. This aparthotel is 0.6 mi (1 km) from Nawaloka Hospital and 0.6 mi (1 k…Sembo]",38,"With a stay at Bella Vista Apartments OnThree20 Colombo in Colombo (Colombo 02), youll be a 5-minute walk from Colombo City Centre and 6 minutes by foot from Gangaramaya Temple. This aparthotel is 0.6 mi (1 km) from Nawaloka Hospital and 0.6 mi (1 k…Sembo","'https://content.r9cdn.net/rimg/himg/66/20/83/expediav2-4844834-a01ea1-089686.jpg?width=1020&height=1020&xhint=520&yhint=281&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e3/68/df/expediav2-4844834-f3f6ce-841651.jpg?width=1020&height=1020&xhint=600&yhint=281&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ad/31/5e/expediav2-4844834-dbfbe3-751686.jpg?width=1020&height=1020&xhint=600&yhint=281&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/c8/df/b6/expediav2-4844834-4325a0-899639.jpg?width=1020&height=1020&xhint=520&yhint=281&crop=true&watermarkheight=28&watermarkpadding=10'",5,
Cafe Aroma Inn,kandy,10,"Restaurant,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Coffee shop,Wi-Fi available in all areas,Flat-screen TV,TV,Cable or satellite TV,[With a stay at Tishan Holiday Resort in Polonnaruwa, youll be within a 5-minute drive of Hatadage and Polonnaruwa Vatadage. This hotel is 1.3 mi (2.1 km) from Parakrama Samudra and 2.2 mi (3.6 km) from Kiri Vihara Temple. Make yourself at home in on…Sembo]",177,"With a stay at Tishan Holiday Resort in Polonnaruwa, youll be within a 5-minute drive of Hatadage and Polonnaruwa Vatadage. This hotel is 1.3 mi (2.1 km) from Parakrama Samudra and 2.2 mi (3.6 km) from Kiri Vihara Temple. Make yourself at home in on…Sembo","'/rimg/himg/d7/03/d0/expediav2-558435-afeff5-770965.jpg?width=510&height=510&crop=true', '/rimg/himg/86/93/45/expediav2-558435-1d94d8-849416.jpg?width=510&height=510&crop=true', '/rimg/himg/51/73/f3/expediav2-558435-5f027c-225794.jpg?width=510&height=510&crop=true', '/rimg/himg/e4/2c/6f/expediav2-558435-94ee0f-948680.jpg?width=510&height=510&crop=true'",1,
Avani Kalutara Resort,kalutara,6,"Private beach,Water sport facilities (on site),Outdoor pool,Water slide,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Bicycle rental,[With a stay at Sigiriya Jungles in Avudangawa, youll be 5.1 mi (8.1 km) from Pidurangala Rock and 5.7 mi (9.2 km) from Ancient City of Sigiriya. This 4.5-star hotel is 6.6 mi (10.6 km) from Minneriya National Park and 7.1 mi (11.5 km) from Sigiriya …SemboRead more]",260,"With a stay at Sigiriya Jungles in Avudangawa, youll be 5.1 mi (8.1 km) from Pidurangala Rock and 5.7 mi (9.2 km) from Ancient City of Sigiriya. This 4.5-star hotel is 6.6 mi (10.6 km) from Minneriya National Park and 7.1 mi (11.5 km) from Sigiriya …SemboRead more","'https://content.r9cdn.net/rimg/himg/a3/ce/c9/hotelsdotcom-620240-bd8a6d13_w-816851.jpg?width=1020&height=1020&xhint=1080&yhint=666&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/fb/25/d3/expediav2-2732651-f03d17-659207.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f8/73/fa/expediav2-2732651-1a2428-901498.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d7/24/7d/expediav2-2732651-3837159107-112321.jpg?width=1020&height=1020&xhint=500&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",3,
Bella Vista Apartments Onthree20 Colombo,colombo,8,"Kitchen,Terrace/Patio,Air-conditioned,Coffee machine,Laundry facilities,Grill,Free toiletries,Child pool,Meeting/Banquet facilities,Parking,[A stay at Kandy City Hotel by Earls places you in the heart of Kandy, steps from Kandy Clock Tower and 5 minutes by foot from Royal Palace of Kandy. This hotel is 2 mi (3.2 km) from Temple of the Tooth and 0.3 mi (0.5 km) from Natha Devale. Make you…SemboRead more]",114,"A stay at Kandy City Hotel by Earls places you in the heart of Kandy, steps from Kandy Clock Tower and 5 minutes by foot from Royal Palace of Kandy. This hotel is 2 mi (3.2 km) from Temple of the Tooth and 0.3 mi (0.5 km) from Natha Devale. Make you…SemboRead more","'https://content.r9cdn.net/rimg/himg/84/72/06/hotelsdotcom-548969-25ee8d40_w-414212.jpg?width=1020&height=1020&xhint=1080&yhint=666&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/9d/52/1b/expediav2-786913-e4decc-642806.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/69/2c/43/expediav2-786913-b84684-470370.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ce/89/7a/expediav2-786913-ebbf81-633096.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",3,
Tishan Holiday Resort,polonnaruwa,8,"Outdoor pool,Restaurant,Room service,Bicycle rental,Free Wi-Fi,Free parking,Flat-screen TV,TV,Cable or satellite TV,Free toiletries,[Set in Weligama, a few steps from Weligama Beach, Parangi Weligama Bay - Thema Collection offers accommodation with an outdoor swimming pool, free private parking, a garden and a terrace. The property is around 29 km from Galle International Cricket …Booking.com]",29,"Set in Weligama, a few steps from Weligama Beach, Parangi Weligama Bay - Thema Collection offers accommodation with an outdoor swimming pool, free private parking, a garden and a terrace. The property is around 29 km from Galle International Cricket …Booking.com","'https://content.r9cdn.net/rimg/himg/c1/11/21/expediav2-2239255-843861-868336.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/40/23/0b/expediav2-2239255-e5aee0-437713.jpg?width=1020&height=1020&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/93/1e/05/expediav2-2239255-d55a0e-758849.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e6/ec/b2/expediav2-2239255-0ab217-861846.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",4,
Sigiriya Jungles,sigiriya,7,"Outdoor pool,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Coffee shop,[When you stay at Thilanka Hotel in Kandy, youll be in a shopping district, within a 10-minute walk of Udawatta Kele Sanctuary and Kandyan Art Association & Cultural Centre. This 4-star hotel is 0.8 mi (1.2 km) from Temple of the Tooth and 0.7 mi (1.…SemboRead more]",148,"When you stay at Thilanka Hotel in Kandy, youll be in a shopping district, within a 10-minute walk of Udawatta Kele Sanctuary and Kandyan Art Association & Cultural Centre. This 4-star hotel is 0.8 mi (1.2 km) from Temple of the Tooth and 0.7 mi (1.…SemboRead more","'/rimg/himg/8c/39/9d/expediav2-169849-1058121966-743104.jpg?width=510&height=510&crop=true', '/rimg/himg/c4/57/68/expediav2-169849-1827859308-620104.jpg?width=510&height=510&crop=true', '/rimg/himg/f2/50/e0/expediav2-169849-26c43f-025796.jpg?width=510&height=510&crop=true', '/rimg/himg/a9/9c/01/expediav2-169849-359fc9-926861.jpg?width=510&height=510&crop=true'",5,
Kandy City Hotel By Earl's,kandy,10,"Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Coffee machine,Coffee shop,Flat-screen TV,TV,Cable or satellite TV,Free toiletries,[With a stay at Beach & Bliss Mirissa in Mirissa, youll be near the beach, within a 15-minute drive of Mirissa Beach and Mirissa Fisheries Harbor. Featured amenities include luggage storage and coffee/tea in a common area. Free self parking is availa…Hotels.com]",65,"With a stay at Beach & Bliss Mirissa in Mirissa, youll be near the beach, within a 15-minute drive of Mirissa Beach and Mirissa Fisheries Harbor. Featured amenities include luggage storage and coffee/tea in a common area. Free self parking is availa…Hotels.com","'/rimg/himg/34/3b/7c/expediav2-7620676-c54f5d-109077.jpg?width=510&height=510&crop=true', '/rimg/himg/df/39/c0/expediav2-7620676-1d012b-949198.jpg?width=510&height=510&crop=true', '/rimg/himg/f5/ab/88/expediav2-7620676-269976-884162.jpg?width=510&height=510&crop=true', '/rimg/himg/e4/56/ed/expediav2-7620676-b664db-863313.jpg?width=510&height=510&crop=true'",1,
Hotel Oviya,vavuniya,7,"[While youre here, you can enjoy all the comforts of home and more, including a refrigerator and a stovetop, as well as free WiFi and a flat-screen TV. Other amenities include laundry facilities, towels, an electric kettle, and kitchenware and utensi…Expedia]",35,"While youre here, you can enjoy all the comforts of home and more, including a refrigerator and a stovetop, as well as free WiFi and a flat-screen TV. Other amenities include laundry facilities, towels, an electric kettle, and kitchenware and utensi…Expedia","'/rimg/himg/d6/0e/fb/expediav2-29270445-83bdd0fb_z-960913.jpg?width=510&height=510&crop=true', '/rimg/himg/d6/0e/fb/expediav2-29270445-740eaec6_z-976831.jpg?width=510&height=510&crop=true', '/rimg/himg/d6/0e/fb/expediav2-29270445-9838fe57_z-184373.jpg?width=510&height=510&crop=true', '/rimg/himg/02/f2/2d/expediav2-3949739-3698369743-571637.jpg?width=510&height=510&crop=true'",4,
